name_english,name_arabic,calories,protein (g),fat (g),carbohydrates (g),recipe_english,recipe_arabic,food_type,serving_size_english,serving_size_arabic,bread_suggestion_english,bread_suggestion_arabic,tags,Column1,_1,meal,Column2,_2,Column3,_3
Ful Medames Iskandarani (350g),فول مدمس إسكندراني (350 جرام),350,18,13,45,"Ful medames iskandarani (Alexandrian style - 350g) with butter, lemon, and spices.",فول مدمس إسكندراني (على الطريقة الإسكندرانية - 350 جرام) بالزبدة والليمون والتوابل.,egyptian,350g serving,350 جرام للوجبة,100g whole wheat pita bread (optional),100 جرام خبز بيتا القمح الكامل (اختياري),"moderate-protein,moderate-fat,high-carb,breakfast,egyptian",,,breakfast,,,,
Shakshuka with Merguez Sausage (350g),شكشوكة بنقانق المرقاز (350 جرام),400,25,25,20,Shakshuka (2 eggs and sauce) with added merguez sausage (50g).,شكشوكة (2 بيضة وصلصة) مع نقانق المرقاز المضافة (50 جرام).,egyptian/mediterranean,350g serving,350 جرام للوجبة,50g whole wheat bread (1 slice),50 جرام خبز القمح الكامل (1 شريحة),"moderate-protein,moderate-fat,moderate-carb,breakfast,egyptian,mediterranean",,,breakfast,,,,
Labneh with Figs and Walnuts (200g),لبنة بالتين والجوز (200 جرام),350,10,28,20,Labneh (150g) topped with dried figs (2 figs) and walnuts (20g).,لبنة (150 جرام) مغطاة بالتين المجفف (2 تين) والجوز (20 جرام).,egyptian/mediterranean,200g serving,200 جرام للوجبة,100g whole wheat pita bread or vegetables,100 جرام خبز بيتا القمح الكامل أو خضروات,"vegetarian,moderate-protein,high-fat,moderate-carb,breakfast,mediterranean",,,breakfast,,,,
Baladi Bread with Date Molasses and Tahini (120g),خبز بلدي بدبس التمر والطحينة (120 جرام),350,6,15,50,Baladi bread (100g) with a spread of date molasses (1 tbsp) and tahini (1 tbsp).,خبز بلدي (100 جرام) مع دهن من دبس التمر (1 ملعقة كبيرة) والطحينة (1 ملعقة كبيرة).,egyptian,120g serving,120 جرام للوجبة,No additional bread,لا خبز إضافي,"vegan,vegetarian,low-protein,moderate-fat,high-carb,breakfast,egyptian",,,breakfast,,,,
Eggs with Sujuk (320g),بيض بالسجق (320 جرام),380,28,28,6,Scrambled eggs (2 large) with sujuk sausage (50g).,بيض مخفوق (2 كبير) مع سجق (نقانق حارة - 50 جرام).,egyptian,320g serving,320 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,high-fat,low-carb,breakfast,egyptian",,,breakfast,,,,
Mediterranean Omelette with Halloumi (1 Omelette),أومليت متوسطي بالحلوم (1 أومليت),350,25,25,10,"Omelette (2 eggs) filled with halloumi cheese (40g), spinach, olives, and sun-dried tomatoes.",أومليت (2 بيضة) محشو بجبنة حلوم (40 جرام) والسبانخ والزيتون والطماطم المجففة بالشمس.,egyptian/mediterranean,1 Omelette serving,1 وجبة أومليت,No bread suggested,لا يقترح خبز,"vegetarian,high-protein,moderate-fat,low-carb,breakfast,mediterranean",,,breakfast,,,,
Hard-Boiled Eggs with Feta and Olives (2 eggs + 30g feta + 10 olives),بيض مسلوق بالفيتا والزيتون (2 بيضة + 30 جرام فيتا + 10 زيتون),250,14,18,3,Two hard-boiled eggs served with feta cheese (30g) and olives (10 olives).,بيضتان مسلوقتان تقدم مع جبنة فيتا (30 جرام) وزيتون (10 زيتون).,egyptian/mediterranean,2 eggs + feta + olives,2 بيضة + فيتا + زيتون,No bread suggested,لا يقترح خبز,"high-protein,high-fat,low-carb,breakfast,mediterranean",,,breakfast,,,,
Pancakes with Dates and Tahini (2 pancakes),بان كيك بالتمر والطحينة (2 بان كيك),450,8,20,60,Pancakes (2 medium) topped with date paste (30g) and tahini (1 tbsp).,بان كيك (2 متوسط) مغطاة بمعجون التمر (30 جرام) والطحينة (1 ملعقة كبيرة).,egyptian/american,2 pancakes + toppings,2 بان كيك + الإضافات,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,high-carb,breakfast,egyptian",,,breakfast,,,,
Breakfast Pizza with Baladi Bread Base (1 slice),بيتزا إفطار بقاعدة خبز بلدي (1 شريحة),300,12,10,40,"Baladi bread slice (approx. 70g) topped with tomato sauce, mozzarella, eggs (1 scrambled), and vegetables.",شريحة خبز بلدي (حوالي 70 جرام) مغطاة بصلصة الطماطم والموزاريلا والبيض (1 مخفوق) والخضروات.,egyptian/italian,1 slice pizza,1 شريحة بيتزا,Already includes bread (Baladi bread),يحتوي بالفعل على خبز (خبز بلدي),"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,egyptian,italian",,,breakfast,,,,
Breakfast Tacos with Ful and Taameya (2 tacos),تاكو إفطار بالفول والطعمية (2 تاكو),450,15,18,50,Two small whole wheat tortillas filled with ful medames (80g) and taameya (1 piece).,اثنان من خبز التورتيلا القمح الكامل الصغير محشوة بالفول المدمس (80 جرام) والطعمية (1 قطعة).,egyptian/mexican,2 tacos serving,2 وجبة تاكو,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,egyptian,mexican",,,breakfast,,,,
Breakfast Crepes with Halawa and Banana (2 crepes),كريب إفطار بحلاوة وموز (2 كريب),400,10,18,50,Two whole wheat crepes filled with halawa (30g) and sliced banana (50g).,اثنان من الكريب القمح الكامل محشوة بحلاوة طحينية (30 جرام) وموز مقطع (50 جرام).,egyptian/french,2 crepes serving,2 وجبة كريب,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,egyptian,french",,,breakfast,,,,
Breakfast Empanadas with Cheese and Olives (2 empanadas),إمباناداس إفطار بالجبن والزيتون (2 إمباناداس),400,15,22,35,"Two whole wheat empanadas filled with cheese (30g), olives (20g), and vegetables (onions, peppers). Baked or air-fried.","اثنان من الإمباناداس القمح الكامل محشوة بالجبن (30 جرام) والزيتون (20 جرام) والخضروات (بصل، فلفل). مخبوزة أو مقلية بالهواء.",latin_american/mediterranean,2 empanadas serving,2 وجبة إمباناداس,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,latin_american,mediterranean",,,breakfast,,,,
Breakfast Quiche with Feta and Spinach (1 slice),كيش إفطار بالفيتا والسبانخ (1 شريحة),380,18,28,12,"Quiche slice with egg custard, feta cheese (40g), and spinach (80g). Whole wheat crust.",شريحة كيش بكاسترد البيض وجبن فيتا (40 جرام) وسبانخ (80 جرام). قشرة قمح كامل.,french/mediterranean,1 slice quiche,1 شريحة كيش,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,high-fat,moderate-carb,breakfast,french,mediterranean",,,breakfast,,,,
Breakfast Strata with Vegetables and Cheese (1 slice),ستراتا إفطار بالخضروات والجبن (1 شريحة),350,15,20,30,"Slice of breakfast strata with whole wheat bread, eggs, cheese (30g), and mixed vegetables (peppers, zucchini, onions).","شريحة من ستراتا الإفطار بالخبز القمح الكامل والبيض والجبن (30 جرام) والخضروات المشكلة (فلفل، كوسة، بصل).",american,1 slice strata,1 شريحة ستراتا,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,casserole",,,breakfast,,,,
Breakfast Bowls with Ful and Taameya (400g),أوعية إفطار بالفول والطعمية (400 جرام),350,15,15,45,"Breakfast bowl with ful medames (200g), taameya (2 pieces), and pickled vegetables (50g).",وعاء إفطار بالفول المدمس (200 جرام) والطعمية (2 قطعة) والخضروات المخللة (50 جرام).,egyptian,400g bowl,400 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,egyptian,bowl",,,breakfast,,,,
Breakfast Hash with Lamb and Potatoes (380g),هاش إفطار بلحم الضأن والبطاطس (380 جرام),380,30,20,30,"Breakfast hash with diced lamb (100g), potatoes (150g), onions, and herbs. Sautéed until browned.",هاش إفطار بلحم الضأن المقطع (100 جرام) والبطاطس (150 جرام) والبصل والأعشاب. مقلي حتى يصبح لونها بنياً.,american,380g serving,380 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,moderate-carb,breakfast,hash",,,breakfast,,,,
Breakfast Skillet with Sausage and Sweet Potatoes (420g),مقلاة إفطار بالنقانق والبطاطا الحلوة (420 جرام),480,25,30,35,"Breakfast skillet with sausage (80g), diced sweet potatoes (150g), onions, peppers, and spices.",مقلاة إفطار بالنقانق (80 جرام) والبطاطا الحلوة المقطعة (150 جرام) والبصل والفلفل والتوابل.,american,420g skillet,420 جرام مقلاة,No bread suggested,لا يقترح خبز,"moderate-protein,high-fat,moderate-carb,breakfast,skillet",,,breakfast,,,,
Breakfast Casserole with Spinach and Feta (1 cup),طاجن إفطار بالسبانخ والفيتا (1 كوب),400,20,30,15,"Breakfast casserole (1 cup) with eggs, spinach (100g), feta cheese (40g), and bread cubes. Baked until golden.",طاجن إفطار (1 كوب) بالبيض والسبانخ (100 جرام) وجبن فيتا (40 جرام) ومكعبات الخبز. مخبوز حتى يصبح لونها ذهبياً.,american/mediterranean,1 cup casserole,1 كوب طاجن,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,high-fat,moderate-carb,breakfast,casserole,mediterranean",,,breakfast,,,,
Breakfast Muffins (Vegetable and Cheese - 2 muffins),مافن إفطار (خضروات وجبن - 2 مافن),320,15,18,25,"Savory breakfast muffins (2 muffins) with whole wheat flour, eggs, cheese (20g), and mixed vegetables (zucchini, carrots, peppers).","مافن إفطار مالح (2 مافن) بدقيق القمح الكامل والبيض والجبن (20 جرام) والخضروات المشكلة (كوسة، جزر، فلفل).",american,2 muffins,2 مافن,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,muffin",,,breakfast,,,,
Breakfast Scones (Date and Nut - 1 scone),سكون إفطار (تمر ومكسرات - 1 سكون),350,7,17,40,"Date and nut breakfast scone (1 scone) with whole wheat flour, dates (chopped), and nuts (walnuts, pecans).","سكون إفطار بالتمر والمكسرات (1 سكون) بدقيق القمح الكامل والتمر (مفروم) والمكسرات (جوز، بيكان).",british/american/middle_eastern,1 scone,1 سكون,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,scone",,,breakfast,,,,
Breakfast Biscuits with Honey Butter (2 biscuits),بسكويت إفطار بزبده العسل (2 بسكويت),400,9,20,45,Two breakfast biscuits served with honey butter (1 tbsp honey mixed with 1 tbsp butter).,اثنان من بسكويت الإفطار يقدم مع زبدة العسل (1 ملعقة كبيرة عسل ممزوجة بـ 1 ملعقة كبيرة زبدة).,american,2 biscuits + honey butter,2 بسكويت + زبدة العسل,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,high-fat,moderate-carb,breakfast,biscuit",,,breakfast,,,,
Breakfast Rolls with Jam and Cheese (1 roll),لفائف إفطار بالمربى والجبن (1 لفة),350,6,15,45,Breakfast roll (1 roll) with a spread of jam (2 tbsp) and cheese (20g cream cheese).,لفة إفطار (1 لفة) مع دهن من المربى (2 ملعقة كبيرة) والجبن (20 جرام جبن كريمي).,american,1 roll,1 لفة,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,moderate-fat,high-carb,breakfast,roll,sweet",,,breakfast,,,,
Breakfast Danish with Apple Filling (1 pastry),دانماركي إفطار بحشوة التفاح (1 معجنات),450,5,22,55,Breakfast danish pastry (1 pastry) with apple filling and glaze.,معجنات دانماركية للإفطار (1 معجنات) بحشوة التفاح والطلاء.,danish,1 pastry,1 معجنات,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,high-fat,high-carb,breakfast,danish",,,breakfast,,,,
Breakfast Croissant with Almond Paste (1 croissant),كرواسون إفطار بعجينة اللوز (1 كرواسون),420,8,22,45,Croissant (1 croissant) filled with almond paste and topped with sliced almonds.,كرواسون (1 كرواسون) محشو بعجينة اللوز ومغطى باللوز المقطع.,french,1 croissant,1 كرواسون,No bread suggested,لا يقترح خبز,"vegetarian,low-protein,high-fat,high-carb,breakfast,croissant,french",,,breakfast,,,,
Breakfast Samosas with Vegetables and Paneer (2 samosas),سمبوسة إفطار بالخضروات والبانير (2 سمبوسة),400,12,20,35,Two baked or air-fried breakfast samosas filled with vegetables and paneer cheese.,اثنان من سمبوسة الإفطار المخبوزة أو المقلية بالهواء محشوة بالخضروات وجبن البانير.,indian,2 samosas,2 سمبوسة,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,indian",,,breakfast,,,,
Breakfast Spring Rolls with Tofu and Peanut Sauce (2 rolls),لفائف الربيع للإفطار بالتوفو وصلصة الفول السوداني (2 لفافة),350,10,18,30,"Two fresh breakfast spring rolls filled with vegetables, tofu, and herbs. Served with peanut sauce (2 tbsp).",اثنان من لفائف الربيع الطازجة للإفطار محشوة بالخضروات والتوفو والأعشاب. تقدم مع صلصة الفول السوداني (2 ملعقة كبيرة).,vietnamese,2 spring rolls,2 لفافة ربيع,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,vietnamese",,,breakfast,,,,
Breakfast Dumplings (Fried - 4 dumplings),زلابية إفطار (مقلية - 4 زلابية),400,10,20,40,Four fried breakfast dumplings filled with vegetables and pork. Served with sweet chili sauce.,أربعة زلابية إفطار مقلية محشوة بالخضروات ولحم الخنزير. تقدم مع صلصة الفلفل الحلو.,asian,4 dumplings,4 زلابية,No bread suggested,لا يقترح خبز,"moderate-protein,moderate-fat,moderate-carb,breakfast,asian",,,breakfast,,,,
Breakfast Congee (Shrimp - 1 bowl),كونجي إفطار (جمبري - 1 وعاء),280,16,7,35,"Bowl of shrimp congee (rice porridge) with shrimp, ginger, and green onions.",وعاء من كونجي الجمبري (عصيدة الأرز) بالجمبري والزنجبيل والبصل الأخضر.,asian,1 bowl congee,1 وعاء كونجي,No bread suggested,لا يقترح خبز,"moderate-protein,low-fat,moderate-carb,breakfast,asian,soup",,,breakfast,,,,
Breakfast Miso Soup (with Mushrooms and Seaweed - 1 bowl),حساء ميسو للإفطار (بالفطر والأعشاب البحرية - 1 وعاء),150,7,6,10,"Bowl of miso soup with mushrooms, tofu, and seaweed.",وعاء من حساء ميسو بالفطر والتوفو والأعشاب البحرية.,japanese,1 bowl miso soup,1 وعاء حساء ميسو,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,low-fat,moderate-carb,breakfast,japanese,soup",,,breakfast,,,,
Breakfast Noodle Soup (Vegetable - 1 bowl),حساء نودلز للإفطار (خضروات - 1 وعاء),350,10,8,60,"Bowl of vegetable noodle soup with whole wheat noodles and mixed vegetables (carrots, bok choy, mushrooms).","وعاء من حساء نودلز الخضروات بنودلز القمح الكامل وخضروات مشكلة (جزر، بوك تشوي، فطر).",asian,1 bowl noodle soup,1 وعاء حساء نودلز,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,low-fat,high-carb,breakfast,asian,soup",,,breakfast,,,,
Breakfast Fried Rice (Shrimp - 1 cup),أرز مقلي للإفطار (جمبري - 1 كوب),400,12,15,50,"Cup of shrimp fried rice with shrimp (50g), mixed vegetables, and egg.",كوب من الأرز المقلي بالجمبري مع الجمبري (50 جرام) وخضروات مشكلة وبيض.,asian,1 cup fried rice,1 كوب أرز مقلي,No bread suggested,لا يقترح خبز,"moderate-protein,moderate-fat,moderate-carb,breakfast,asian",,,breakfast,,,,
Breakfast Stir-Fry (Beef and Broccoli - 1 cup),إفطار سوتيه (لحم بقري وبروكلي - 1 كوب),350,20,18,20,Cup of beef and broccoli stir-fry with beef strips (80g) and broccoli florets.,كوب من سوتيه اللحم البقري والبروكلي بشرائح اللحم البقري (80 جرام) وزهرات البروكلي.,asian,1 cup stir-fry,1 كوب سوتيه,No bread suggested,لا يقترح خبز,"moderate-protein,moderate-fat,moderate-carb,breakfast,asian,stir-fry",,,breakfast,,,,
Breakfast Curry (Paneer - 1 cup),كاري إفطار (بانير - 1 كوب),380,12,20,30,Cup of paneer curry with paneer cheese cubes (80g) in a mild tomato based curry sauce.,كوب من كاري البانير بمكعبات جبنة البانير (80 جرام) في صلصة كاري خفيفة تعتمد على الطماطم.,indian,1 cup curry,1 كوب كاري,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,indian,curry",,,breakfast,,,,
Breakfast Dosa (Rava Dosa - 1 dosa),دوسة إفطار (رافا دوسة - 1 دوسة),300,7,10,45,One rava dosa (South Indian crepe made from semolina - approx. 90g).,رافا دوسة واحدة (كريب جنوب هندي مصنوع من السميد - حوالي 90 جرام).,indian,1 rava dosa,1 رافا دوسة,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,low-fat,high-carb,breakfast,indian",,,breakfast,,,,
Breakfast Idli Vada (2 idlis + 1 vada),إدلي فادا إفطار (2 إدلي + 1 فادا),350,7,15,40,Two idlis served with one vada (South Indian savory lentil donut).,اثنان إدلي يقدم مع واحد فادا (دونات عدس مالح من جنوب الهند).,indian,2 idlis + 1 vada,2 إدلي + 1 فادا,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,indian",,,breakfast,,,,
Breakfast Upma with Semolina and Vegetables (1 cup),أوبما إفطار بالسميد والخضروات (1 كوب),250,6,6,40,"Cup of upma made with semolina, vegetables, and spices.",كوب من أوبما مصنوع من السميد والخضروات والتوابل.,indian,1 cup upma,1 كوب أوبما,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,low-fat,high-carb,breakfast,indian",,,breakfast,,,,
Breakfast Poha with Vegetables and Spices (1 cup),بوها إفطار بالخضروات والتوابل (1 كوب),230,4,4,45,"Cup of poha with vegetables, spices, and herbs.",كوب من بوها بالخضروات والتوابل والأعشاب.,indian,1 cup poha,1 كوب بوها,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,low-fat,high-carb,breakfast,indian",,,breakfast,,,,
Breakfast Paratha with Butter (1 paratha + 1 tbsp butter),باراثا إفطار بالزبدة (1 باراثا + 1 ملعقة كبيرة زبدة),450,8,25,45,One paratha cooked with butter (1 tbsp) for richer flavor.,باراثا واحد مطبوخ بالزبدة (1 ملعقة كبيرة) لنكهة أغنى.,indian,1 paratha + 1 tbsp butter,1 باراثا + 1 ملعقة كبيرة زبدة,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,high-fat,moderate-carb,breakfast,indian",,,breakfast,,,,
Breakfast Roti with Egg Bhurji (2 rotis + 1/2 cup egg bhurji),روتي إفطار ببهورجي البيض (2 روتي + نصف كوب بهورجي البيض),400,20,15,40,Two rotis served with half cup of egg bhurji (Indian scrambled eggs).,اثنان من روتي يقدم مع نصف كوب من بهورجي البيض (بيض مخفوق هندي).,indian,2 rotis + 1/2 cup egg bhurji,2 روتي + نصف كوب بهورجي البيض,Already includes bread (roti),يحتوي بالفعل على خبز (روتي),"moderate-protein,moderate-fat,moderate-carb,breakfast,indian",,,breakfast,,,,
Breakfast Chapati with Palak Paneer (2 chapatis + 1/2 cup palak paneer),تشاباتي إفطار ببالاك بانير (2 تشاباتي + نصف كوب بالاك بانير),450,12,20,40,Two chapatis served with half cup of palak paneer (spinach and paneer curry).,اثنان من تشاباتي يقدم مع نصف كوب من بالاك بانير (كاري السبانخ والبانير).,indian,2 chapatis + 1/2 cup palak paneer,2 تشاباتي + نصف كوب بالاك بانير,Already includes bread (chapati),يحتوي بالفعل على خبز (تشاباتي),"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,indian",,,breakfast,,,,
Breakfast Aloo Paratha with Raita (1 aloo paratha + 1/2 cup raita),الو باراثا إفطار بالرايتا (1 الو باراثا + نصف كوب رايتا),480,11,20,55,One aloo paratha served with half cup of raita (mint raita).,الو باراثا واحد يقدم مع نصف كوب من الرايتا (رايتا النعناع).,indian,1 aloo paratha + 1/2 cup raita,1 الو باراثا + نصف كوب رايتا,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,high-carb,breakfast,indian",,,breakfast,,,,
Breakfast Paneer Paratha with Pickle (1 paneer paratha + pickle),بانير باراثا إفطار بالمخلل (1 بانير باراثا + مخلل),450,12,20,45,One paneer paratha served with a side of Indian pickle.,بانير باراثا واحد يقدم مع طبق جانبي من المخلل الهندي.,indian,1 paneer paratha + pickle,1 بانير باراثا + مخلل,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,indian",,,breakfast,,,,
Breakfast Egg Curry with Rice (1 cup curry + 1 cup rice),كاري البيض للإفطار مع أرز (1 كوب كاري + 1 كوب أرز),500,20,20,55,Cup of egg curry served with one cup of cooked rice.,كوب من كاري البيض يقدم مع كوب واحد من الأرز المطبوخ.,indian,1 cup curry + 1 cup rice,1 كوب كاري + 1 كوب أرز,Already includes rice,يحتوي بالفعل على أرز,moderate-protein,moderate-fat,moderate-carb,breakfast,indian,"curry""",,
Breakfast Chana Masala with Roti (1 cup chana masala + 2 rotis),تشانا ماسالا إفطار مع روتي (1 كوب تشانا ماسالا + 2 روتي),450,12,10,65,Cup of chana masala served with two rotis.,كوب من تشانا ماسالا يقدم مع اثنين من روتي.,indian,1 cup chana masala + 2 rotis,1 كوب تشانا ماسالا + 2 روتي,Already includes bread (roti),يحتوي بالفعل على خبز (روتي),"vegan,vegetarian,moderate-protein,low-fat,high-carb,breakfast,indian,curry",,,breakfast,,,,
Breakfast Dal Makhani with Naan (1/2 cup dal makhani + 1 naan),دال مخاني إفطار مع نان (نصف كوب دال مخاني + 1 نان),550,14,30,55,Half cup of dal makhani served with one naan bread.,نصف كوب من دال مخاني يقدم مع خبز نان واحد.,indian,1/2 cup dal makhani + 1 naan,نصف كوب دال مخاني + 1 نان,Already includes bread (naan),يحتوي بالفعل على خبز (نان),vegetarian,moderate-protein,high-fat,high-carb,breakfast,"indian""",,
