name_english,name_arabic,calories,protein (g),fat (g),carbohydrates (g),recipe_english,recipe_arabic,food_type,serving_size_english,serving_size_arabic,tags,meal
"Tofu Cubes (baked, 100g)","مكعبات توفو (مخبوزة، 100 جرام)",140,15,8,2,"100g baked firm tofu cubes, seasoned with soy sauce and spices.","100 جرام مكعبات توفو متماسكة مخبوزة، متبلة بصلصة الصويا والتوابل.",american/asian,100g baked tofu cubes,100 جرام مكعبات توفو مخبوزة,"vegan,vegetarian,high-protein,moderate-fat,low-carb,snack,portion-controlled",snack
Greek Yogurt (High Protein - 200g),زبادي يوناني (عالي البروتين - 200 جرام),150,20,0,15,200g container of non-fat Greek yogurt.,علبة 200 جرام من الزبادي اليوناني الخالي من الدسم.,american/mediterranean,200g cup,علبة 200 جرام,"dairy,high-protein,low-fat,snack,portion-controlled",snack
Canned Salmon (100g),سلمون معلب (100 جرام),150,25,5,0,"100g canned salmon, drained (skinless and boneless).","100 جرام سلمون معلب، مصفى (بدون جلد وعظم).",american,100g canned salmon,100 جرام سلمون معلب,"high-protein,moderate-fat,very-low-carb,snack,seafood,portion-controlled,omega-3",snack
Canned Chicken (100g),دجاج معلب (100 جرام),160,30,3.5,0,"100g canned chicken breast, drained.","100 جرام صدر دجاج معلب، مصفى.",american,100g canned chicken,100 جرام دجاج معلب,"high-protein,low-fat,very-low-carb,snack,portion-controlled",snack
Hard Boiled Eggs (3 whites),بيض مسلوق (3 بياض),50,10,0,1,3 large hard-boiled egg whites.,3 بياض بيض مسلوق كبير.,egyptian/american,3 egg whites,3 بياض بيض,"high-protein,very-low-fat,very-low-carb,snack,portion-controlled",snack
"Parmesan Cheese Crisps (Large, 2 pieces)",رقائق جبنة بارميزان كبيرة (2 قطعة),220,22,15,2,2 large baked parmesan cheese crisps (approx. 45g).,2 رقائق جبنة بارميزان كبيرة مخبوزة (حوالي 45 جرام).,italian,2 large crisps (approx. 45g),2 رقائق كبيرة (حوالي 45 جرام),"dairy,high-protein,high-fat,very-low-carb,snack,portion-controlled,keto-friendly",snack
Spiced Beef Jerky (2 oz),لحم بقري مجفف متبل (2 أوقية),160,26,4,4,2 oz (approx. 56g) serving of spiced beef jerky.,2 أوقية (حوالي 56 جرام) من لحم البقر المجفف المتبل.,american,2 oz serving,2 أوقية للوجبة,"high-protein,low-fat,very-low-carb,snack,portion-controlled,keto-friendly,spicy",snack
High-Protein Energy Balls (2 balls),كرات طاقة عالية البروتين (2 كرات),280,15,18,15,"2 homemade energy balls (approx. 60g total) made with protein powder, oats, peanut butter, and seeds.",2 كرات طاقة منزلية الصنع (حوالي 60 جرام إجمالي) مصنوعة من مسحوق البروتين والشوفان وزبدة الفول السوداني والبذور.,american,2 energy balls (approx. 60g),2 كرات طاقة (حوالي 60 جرام),"high-protein,moderate-fat,moderate-carb,snack,homemade,portion-controlled",snack
"Whey Protein Isolate Shake (1 scoop, water-based)","مشروب بروتين مصل اللبن المعزول (1 مغرفة، مائي)",120,25,0.5,3,Protein shake made with 1 scoop (approx. 30g) whey protein isolate powder and water (250ml).,مشروب بروتين مصنوع من 1 مغرفة (حوالي 30 جرام) مسحوق بروتين مصل اللبن المعزول والماء (250 مل).,american,1 shake (250ml),1 مشروب (250 مل),"high-protein,very-low-fat,very-low-carb,snack,dairy,portion-controlled",snack
"Chicken Breast Bites (baked, 100g)","قطع صدر دجاج (مخبوزة، 100 جرام)",170,32,3,1,"100g baked chicken breast bites, lightly seasoned.","100 جرام قطع صدر دجاج مخبوزة، متبلة قليلاً.",american,100g bites,100 جرام قطع,"high-protein,low-fat,very-low-carb,snack,portion-controlled",snack
"Ground Beef Bites (lean, baked, 100g)","قطع لحم بقري مفروم (قليل الدهن، مخبوزة، 100 جرام)",220,35,8,0,"100g baked lean ground beef bites, seasoned.","100 جرام قطع لحم بقري مفروم قليل الدهن مخبوزة، متبلة.",american,100g bites,100 جرام قطع,"high-protein,moderate-fat,very-low-carb,snack,portion-controlled,keto-friendly",snack
"Tofu Bites (air-fried, 100g)","قطع توفو (مقلية بالهواء، 100 جرام)",160,17,9,3,"100g air-fried firm tofu bites, seasoned with soy sauce and ginger.","100 جرام قطع توفو متماسكة مقلية بالهواء، متبلة بصلصة الصويا والزنجبيل.",american/asian,100g bites,100 جرام قطع,"vegan,vegetarian,high-protein,moderate-fat,low-carb,snack,portion-controlled",snack
High-Protein Cottage Cheese Bowl (200g),وعاء جبنة قريش عالي البروتين (200 جرام),200,30,0.5,15,200g bowl of non-fat cottage cheese.,وعاء 200 جرام من جبنة قريش خالية من الدسم.,american,200g bowl,200 جرام للوجبة,"dairy,high-protein,low-fat,snack,portion-controlled",snack
"Greek Yogurt Parfait (small, 250g)","بارفيه زبادي يوناني (صغير، 250 جرام)",300,25,8,30,"Small parfait with layers of Greek yogurt (150g), granola (50g), and berries (50g).","بارفيه صغير بطبقات من الزبادي اليوناني (150 جرام)، جرانولا (50 جرام)، والتوت (50 جرام).",american/mediterranean,250g parfait,250 جرام بارفيه,"dairy,high-protein,moderate-fat,moderate-carb,snack,portion-controlled",snack
"Protein Chia Pudding (small, 200g)","بودينغ بروتين الشيا (صغير، 200 جرام)",300,15,15,20,"Small chia pudding (200g) made with milk, chia seeds, and added protein powder (1 scoop whey).",بودينغ شيا صغير (200 جرام) مصنوع من الحليب وبذور الشيا ومسحوق البروتين المضاف (1 مغرفة مصل اللبن).,american,200g pudding,200 جرام بودينغ,"dairy-optional,high-protein,moderate-fat,moderate-carb,snack,portion-controlled,fiber-rich",snack
Whole Wheat Toast with Avocado (1 slice),خبز توست قمح كامل مع الأفوكادو (1 شريحة),180,5,9,22,1 slice of whole wheat toast (approx. 35g) topped with 1/4 avocado (approx. 40g) mashed.,1 شريحة من خبز التوست القمح الكامل (حوالي 35 جرام) مغطاة بربع أفوكادو (حوالي 40 جرام) مهروس.,american,1 slice toast + 1/4 avocado,1 شريحة توست + ربع أفوكادو,"vegetarian,healthy-fat,moderate-carb,snack,portion-controlled",snack
Hard-Boiled Quail Eggs (3 eggs),بيض السمان المسلوق (3 بيضات),90,7,6,0.5,3 hard-boiled quail eggs (approx. 45g).,3 بيضات سمان مسلوقة (حوالي 45 جرام).,egyptian,3 quail eggs (approx. 45g),3 بيضات سمان (حوالي 45 جرام),"high-protein,moderate-fat,very-low-carb,snack,portion-controlled",snack
Ful Medames (small bowl),فول مدمس (طبق صغير),220,12,2,40,"Small bowl (approx. 150g) of ful medames (Egyptian fava bean stew), with minimal oil.","طبق صغير (حوالي 150 جرام) من الفول المدمس (حساء الفول المصري)، مع الحد الأدنى من الزيت.",egyptian,150g bowl,طبق 150 جرام,"vegan,vegetarian,high-protein,moderate-carb,low-fat,fiber-rich,snack",snack
Taameya (3 pieces),طعمية (3 قطع),250,8,15,25,"3 pieces of taameya (Egyptian falafel) baked or air-fried, with tahini sauce (1 tbsp).","3 قطع من الطعمية (الفلافل المصرية) مخبوزة أو مقلية بالهواء، مع صلصة طحينة (1 ملعقة كبيرة).",egyptian,3 pieces + 1 tbsp tahini,3 قطع + 1 ملعقة كبيرة طحينة,"vegan,vegetarian,moderate-protein,moderate-fat,moderate-carb,fiber-rich,snack",snack
"White Cheese with Tomato (50g cheese, 1 tomato)","جبنة بيضاء مع طماطم (50 جرام جبنة، 1 طماطم)",130,10,8,5,50g of white cheese (like feta or domiati) with 1 medium tomato (approx. 120g) sliced.,50 جرام من الجبن الأبيض (مثل الفيتا أو الدمياطي) مع 1 طماطم متوسطة (حوالي 120 جرام) مقطعة شرائح.,egyptian/mediterranean,50g cheese + 1 tomato,50 جرام جبنة + 1 طماطم,"dairy,moderate-protein,moderate-fat,low-carb,snack,portion-controlled,mediterranean",snack
"Baladi Bread with Hummus (1/2 pita, 2 tbsp hummus)","خبز بلدي مع حمص (نصف خبز بيتا، 2 ملعقة كبيرة حمص)",200,6,8,30,Half a baladi bread (Egyptian pita) (approx. 30g) with 2 tablespoons of hummus (approx. 30g).,نصف خبز بلدي (بيتا مصري) (حوالي 30 جرام) مع 2 ملعقة كبيرة من الحمص (حوالي 30 جرام).,egyptian/mediterranean,1/2 pita + 2 tbsp hummus,نصف خبز بيتا + 2 ملعقة كبيرة حمص,"vegan,vegetarian,moderate-protein,moderate-fat,moderate-carb,fiber-rich,snack",snack
Kushari (small portion),كشري (حصة صغيرة),280,7,3,55,"Small portion (approx. 150g) of kushari (Egyptian rice, lentils, pasta dish), minimal fried onions.","حصة صغيرة (حوالي 150 جرام) من الكشري (أرز مصري، عدس، طبق مكرونة)، الحد الأدنى من البصل المقلي.",egyptian,150g portion,حصة 150 جرام,"vegan,vegetarian,moderate-protein,low-fat,high-carb,fiber-rich,snack",snack
Mahlabia (small cup),مهلبية (كوب صغير),150,3,5,25,Small cup (approx. 100g) of mahlabia (Egyptian milk pudding) with minimal sugar.,كوب صغير (حوالي 100 جرام) من المهلبية (بودينغ الحليب المصري) مع الحد الأدنى من السكر.,egyptian,100g cup,كوب 100 جرام,"vegetarian,moderate-carb,moderate-fat,low-protein,snack,portion-controlled,dessert",snack
Qamar el-Deen (small piece),قمر الدين (قطعة صغيرة),120,1,0.1,30,Small piece (approx. 40g) of qamar el-deen (dried apricot leather).,قطعة صغيرة (حوالي 40 جرام) من قمر الدين (جلد المشمش المجفف).,egyptian,40g piece,قطعة 40 جرام,"vegan,vegetarian,low-fat,high-carb,snack,natural-sugar,portion-controlled,dessert",snack
Besara (small bowl),بصارة (طبق صغير),180,8,5,30,"Small bowl (approx. 150g) of besara (Egyptian fava bean dip), with minimal oil.","طبق صغير (حوالي 150 جرام) من البصارة (غموس الفول المصري)، مع الحد الأدنى من الزيت.",egyptian,150g bowl,طبق 150 جرام,"vegan,vegetarian,high-protein,moderate-carb,low-fat,fiber-rich,snack",snack
"Tamr Hendi (small glass, unsweetened)","تمر هندي (كوب صغير، غير محلى)",30,0.5,0,8,Small glass (approx. 200ml) of unsweetened tamr hendi (tamarind drink).,كوب صغير (حوالي 200 مل) من التمر هندي غير المحلى (مشروب التمر الهندي).,egyptian,200ml glass,كوب 200 مل,"vegan,vegetarian,low-calorie,low-fat,moderate-carb,snack,portion-controlled,drink",snack
"Karkade (small glass, unsweetened)","كركديه (كوب صغير، غير محلى)",25,0.1,0,6,Small glass (approx. 200ml) of unsweetened karkade (hibiscus tea).,كوب صغير (حوالي 200 مل) من الكركديه غير المحلى (شاي الكركديه).,egyptian,200ml glass,كوب 200 مل,"vegan,vegetarian,low-calorie,low-fat,moderate-carb,snack,portion-controlled,drink",snack
"Yogurt with Dates (170g yogurt, 2 dates)","زبادي مع تمر (170 جرام زبادي، 2 تمرة)",220,15,4,30,170g container of plain yogurt with 2 Medjool dates (approx. 50g).,علبة 170 جرام من الزبادي العادي مع 2 تمرة مجدول (حوالي 50 جرام).,egyptian/mediterranean,170g yogurt + 2 dates,170 جرام زبادي + 2 تمرة,"dairy,high-protein,moderate-carb,moderate-fat,snack,portion-controlled",snack
"Labneh with Za'atar and Pita (1/4 cup labneh, 1/2 pita)","لبنة بالزعتر وخبز بيتا (ربع كوب لبنة، نصف خبز بيتا)",220,7,15,15,"1/4 cup (approx. 60g) labneh topped with za'atar, served with 1/2 whole wheat pita bread (approx. 30g).","ربع كوب (حوالي 60 جرام) لبنة مغطاة بالزعتر، تقدم مع نصف خبز بيتا قمح كامل (حوالي 30 جرام).",egyptian/mediterranean,1/4 cup labneh + 1/2 pita,ربع كوب لبنة + نصف خبز بيتا,"vegetarian,moderate-protein,high-fat,moderate-carb,snack,portion-controlled,mediterranean",snack
Roasted Sweet Potato Cubes (1 cup),مكعبات بطاطا حلوة مشوية (1 كوب),150,2,1,35,"1 cup (approx. 130g) roasted sweet potato cubes, lightly seasoned.","1 كوب (حوالي 130 جرام) مكعبات بطاطا حلوة مشوية، متبلة قليلاً.",american,1 cup cubes,1 كوب مكعبات,"vegan,vegetarian,low-fat,high-carb,snack,fiber-rich,portion-controlled",snack
Steamed Green Beans (1 cup),فاصوليا خضراء مطبوخة بالبخار (1 كوب),40,2,0.2,8,"1 cup (approx. 90g) steamed green beans, plain.","1 كوب (حوالي 90 جرام) فاصوليا خضراء مطبوخة بالبخار، سادة.",american,1 cup green beans,1 كوب فاصوليا خضراء,"vegan,vegetarian,low-calorie,low-fat,moderate-carb,snack,fiber-rich,portion-controlled",snack
Bell Pepper Strips (1 large pepper),شرائح فلفل رومي (1 فلفل كبير),30,1,0.3,7,1 large bell pepper (approx. 150g) cut into strips.,1 فلفل رومي كبير (حوالي 150 جرام) مقطع شرائح.,american,1 large pepper,1 فلفل كبير,"vegan,vegetarian,low-calorie,low-fat,moderate-carb,snack,vitamin-c,fiber-rich,portion-controlled",snack
Baby Carrots (1 cup),جزر صغير (1 كوب),50,1,0.3,12,1 cup (approx. 100g) baby carrots.,1 كوب (حوالي 100 جرام) جزر صغير.,american,1 cup baby carrots,1 كوب جزر صغير,"vegan,vegetarian,low-calorie,low-fat,moderate-carb,snack,vitamin-a,fiber-rich,portion-controlled",snack
Cherry Tomatoes (1 cup),طماطم كرزية (1 كوب),30,1.5,0.2,6,1 cup (approx. 150g) cherry tomatoes.,1 كوب (حوالي 150 جرام) طماطم كرزية.,american,1 cup cherry tomatoes,1 كوب طماطم كرزية,"vegan,vegetarian,low-calorie,low-fat,moderate-carb,snack,vitamin-c,portion-controlled",snack
Cucumber Slices (1 cucumber),شرائح خيار (1 خيارة),45,1,0.5,9,1 medium cucumber (approx. 150g) sliced.,1 خيارة متوسطة (حوالي 150 جرام) مقطعة شرائح.,american/egyptian,1 cucumber,1 خيارة,"vegan,vegetarian,low-calorie,low-fat,moderate-carb,snack,hydrating,portion-controlled",snack
Radishes (1 cup sliced),فجل (1 كوب شرائح),20,0.5,0.1,4,1 cup (approx. 115g) sliced radishes.,1 كوب (حوالي 115 جرام) فجل مقطع شرائح.,american,1 cup sliced radishes,1 كوب فجل شرائح,"vegan,vegetarian,low-calorie,low-fat,very-low-carb,snack,portion-controlled",snack
Snap Peas (1 cup),بازلاء الثلج (1 كوب),35,2,0.2,6,1 cup (approx. 100g) snap peas.,1 كوب (حوالي 100 جرام) بازلاء الثلج.,american,1 cup snap peas,1 كوب بازلاء الثلج,"vegan,vegetarian,low-calorie,low-fat,moderate-carb,snack,fiber-rich,portion-controlled",snack
Plain Rice Cakes (2 cakes),كعك أرز سادة (2 كعكة),70,1,0.5,15,2 plain rice cakes (approx. 14g each).,2 كعكة أرز سادة (حوالي 14 جرام لكل منهما).,american,2 rice cakes,2 كعكة أرز,"vegan,vegetarian,low-fat,moderate-carb,snack,portion-controlled",snack
Whole Wheat Crackers (5 crackers),بسكويت قمح كامل (5 بسكويت),140,3,5,20,5 whole wheat crackers (approx. 28g).,5 بسكويت قمح كامل (حوالي 28 جرام).,american,5 crackers,5 بسكويت,"vegetarian,moderate-fat,moderate-carb,snack,portion-controlled",snack
Air-Popped Popcorn (2 cups),فشار بالهواء (2 كوب),75,2,0.7,15,2 cups (approx. 16g) air-popped popcorn.,2 كوب (حوالي 16 جرام) فشار بالهواء.,american,2 cups popcorn,2 كوب فشار,"vegan,vegetarian,low-fat,moderate-carb,snack,whole-grain,portion-controlled",snack
Roasted Chestnuts (3 chestnuts),كستناء مشوية (3 كستناء),120,1.5,1,25,3 roasted chestnuts (approx. 50g).,3 كستناء مشوية (حوالي 50 جرام).,american/mediterranean,3 chestnuts,3 كستناء,"nuts,low-fat,moderate-carb,snack,portion-controlled",snack
Dried Apricots (5 halves),مشمش مجفف (5 أنصاف),100,1,0.2,25,5 dried apricot halves (approx. 35g).,5 أنصاف مشمش مجفف (حوالي 35 جرام).,american/middle_eastern,5 apricot halves,5 أنصاف مشمش,"fruit,low-fat,high-carb,snack,natural-sugar,fiber-rich,portion-controlled",snack
Dried Figs (2 figs),تين مجفف (2 تين),150,1.5,0.5,35,2 dried figs (approx. 50g).,2 تين مجفف (حوالي 50 جرام).,american/middle_eastern,2 dried figs,2 تين مجفف,"fruit,low-fat,high-carb,snack,natural-sugar,fiber-rich,portion-controlled",snack
Prunes (5 prunes),برقوق مجفف (5 برقوق),120,1,0.3,30,5 prunes (approx. 40g).,5 برقوق مجفف (حوالي 40 جرام).,american/middle_eastern,5 prunes,5 برقوق,"fruit,low-fat,high-carb,snack,natural-sugar,fiber-rich,portion-controlled",snack
Raisins (1/4 cup),زبيب (ربع كوب),130,1,0.1,30,1/4 cup (approx. 40g) raisins.,ربع كوب (حوالي 40 جرام) زبيب.,american/middle_eastern,1/4 cup raisins,ربع كوب زبيب,"fruit,low-fat,high-carb,snack,natural-sugar,portion-controlled",snack
Unsweetened Applesauce (1 cup),صلصة تفاح غير محلاة (1 كوب),100,0.5,0.2,25,1 cup (approx. 244g) unsweetened applesauce.,1 كوب (حوالي 244 جرام) صلصة تفاح غير محلاة.,american,1 cup applesauce,1 كوب صلصة تفاح,"vegan,vegetarian,low-fat,moderate-carb,snack,fruit,portion-controlled",snack
Pear (1 medium),كمثرى (1 متوسطة),100,1,0.3,26,1 medium pear (approx. 178g).,1 كمثرى متوسطة (حوالي 178 جرام).,american/mediterranean,1 medium pear,1 كمثرى متوسطة,"fruit,low-fat,moderate-carb,snack,fiber-rich,portion-controlled",snack
Grapes (1 cup),عنب (1 كوب),104,1,0.2,27,1 cup (approx. 92g) grapes.,1 كوب (حوالي 92 جرام) عنب.,american/mediterranean,1 cup grapes,1 كوب عنب,"fruit,low-fat,moderate-carb,snack,portion-controlled",snack
Cantaloupe (1 cup cubes),شمام (1 كوب مكعبات),54,1,0.2,13,1 cup (approx. 160g) cantaloupe cubes.,1 كوب (حوالي 160 جرام) مكعبات شمام.,american/egyptian,1 cup cantaloupe,1 كوب شمام,"fruit,low-calorie,low-fat,moderate-carb,snack,vitamin-a,portion-controlled",snack
Watermelon (1 cup cubes),بطيخ (1 كوب مكعبات),46,1,0.2,11,1 cup (approx. 152g) watermelon cubes.,1 كوب (حوالي 152 جرام) مكعبات بطيخ.,american/egyptian,1 cup watermelon,1 كوب بطيخ,"fruit,low-calorie,low-fat,moderate-carb,snack,hydrating,portion-controlled",snack
Strawberries (1 cup halves),فراولة (1 كوب أنصاف),53,1,0.5,13,1 cup (approx. 152g) strawberry halves.,1 كوب (حوالي 152 جرام) أنصاف فراولة.,american/mediterranean,1 cup strawberries,1 كوب فراولة,"fruit,low-calorie,low-fat,moderate-carb,snack,vitamin-c,portion-controlled",snack
Blueberries (1/2 cup),توت أزرق (نصف كوب),40,0.5,0.2,10,1/2 cup (approx. 74g) blueberries.,نصف كوب (حوالي 74 جرام) توت أزرق.,american/mediterranean,1/2 cup blueberries,نصف كوب توت أزرق,"fruit,low-calorie,low-fat,moderate-carb,snack,antioxidant-rich,portion-controlled",snack
Raspberries (1/2 cup),توت بري (نصف كوب),32,0.7,0.3,7,1/2 cup (approx. 62g) raspberries.,نصف كوب (حوالي 62 جرام) توت بري.,american/mediterranean,1/2 cup raspberries,نصف كوب توت بري,"fruit,low-calorie,low-fat,moderate-carb,snack,fiber-rich,portion-controlled",snack
Blackberries (1/2 cup),توت أسود (نصف كوب),31,1,0.3,7,1/2 cup (approx. 72g) blackberries.,نصف كوب (حوالي 72 جرام) توت أسود.,american/mediterranean,1/2 cup blackberries,نصف كوب توت أسود,"fruit,low-calorie,low-fat,moderate-carb,snack,fiber-rich,portion-controlled",snack
Plain Greek Yogurt (170g),زبادي يوناني عادي (170 جرام),100,18,0,6,170g container of plain non-fat Greek yogurt.,علبة 170 جرام من الزبادي اليوناني العادي الخالي من الدسم.,american/mediterranean,170g cup,علبة 170 جرام,"dairy,high-protein,low-fat,snack,portion-controlled",snack
"Kefir (1 cup, plain)","كفير (1 كوب، عادي)",100,9,2,12,1 cup (240ml) plain kefir (fermented milk drink).,1 كوب (240 مل) كفير عادي (مشروب حليب مخمر).,american/mediterranean,1 cup (240ml),1 كوب (240 مل),"dairy,high-protein,moderate-fat,moderate-carb,snack,probiotic-rich,portion-controlled",snack
Skim Milk (1 cup),حليب خالي الدسم (1 كوب),80,8,0,12,1 cup (240ml) skim milk.,1 كوب (240 مل) حليب خالي الدسم.,american,1 cup (240ml),1 كوب (240 مل),"dairy,high-protein,low-fat,moderate-carb,snack,portion-controlled",snack
"Almond Milk (1 cup, unsweetened)","حليب لوز (1 كوب، غير محلى)",30,1,2.5,1,1 cup (240ml) unsweetened almond milk.,1 كوب (240 مل) حليب لوز غير محلى.,american,1 cup (240ml),1 كوب (240 مل),"vegan,vegetarian,low-calorie,low-fat,very-low-carb,snack,dairy-free,portion-controlled",snack
"Soy Milk (1 cup, unsweetened)","حليب الصويا (1 كوب، غير محلى)",80,7,4,4,1 cup (240ml) unsweetened soy milk.,1 كوب (240 مل) حليب الصويا غير محلى.,american,1 cup (240ml),1 كوب (240 مل),"vegan,vegetarian,high-protein,moderate-fat,moderate-carb,snack,dairy-free,portion-controlled",snack
"Oat Milk (1 cup, unsweetened)","حليب الشوفان (1 كوب، غير محلى)",45,1,0.5,8,1 cup (240ml) unsweetened oat milk.,1 كوب (240 مل) حليب الشوفان غير محلى.,american,1 cup (240ml),1 كوب (240 مل),"vegan,vegetarian,low-calorie,low-fat,moderate-carb,snack,dairy-free,portion-controlled",snack
"Coconut Yogurt (1/2 cup, unsweetened)","زبادي جوز الهند (نصف كوب، غير محلى)",80,1,7,3,1/2 cup (approx. 120g) unsweetened coconut yogurt.,نصف كوب (حوالي 120 جرام) زبادي جوز الهند غير محلى.,american,1/2 cup yogurt,نصف كوب زبادي,"vegan,vegetarian,moderate-fat,low-carb,snack,dairy-free,portion-controlled",snack
Canned Tuna Salad (1/4 cup),سلطة تونة معلبة (ربع كوب),180,15,12,3,"1/4 cup (approx. 55g) canned tuna salad (tuna, mayonnaise, celery, onion).","ربع كوب (حوالي 55 جرام) سلطة تونة معلبة (تونة، مايونيز، كرفس، بصل).",american,1/4 cup salad,ربع كوب سلطة,"high-protein,moderate-fat,low-carb,snack,seafood,portion-controlled",snack
Chicken Salad (1/4 cup),سلطة دجاج (ربع كوب),200,12,15,5,"1/4 cup (approx. 55g) chicken salad (cooked chicken, mayonnaise, celery, onion).","ربع كوب (حوالي 55 جرام) سلطة دجاج (دجاج مطبوخ، مايونيز، كرفس، بصل).",american,1/4 cup salad,ربع كوب سلطة,"high-protein,high-fat,low-carb,snack,portion-controlled",snack
Egg Salad (1/4 cup),سلطة بيض (ربع كوب),210,7,18,4,"1/4 cup (approx. 55g) egg salad (hard-boiled eggs, mayonnaise, mustard).","ربع كوب (حوالي 55 جرام) سلطة بيض (بيض مسلوق، مايونيز، مستردة).",american,1/4 cup salad,ربع كوب سلطة,"moderate-protein,high-fat,low-carb,snack,portion-controlled",snack
